,loss,val_loss
0,292.03582763671875,292.6512145996094
1,292.03546142578125,292.6512145996094
2,292.0354919433594,292.6512145996094
3,292.0357360839844,292.6512145996094
4,292.0355224609375,292.6512145996094
5,292.0356750488281,292.6512145996094
6,292.035400390625,292.6512145996094
7,292.0355529785156,292.6512145996094
8,292.0360107421875,292.6512145996094
9,292.03582763671875,292.6512145996094
10,292.0356140136719,292.6512145996094
11,292.0353088378906,292.6512145996094
12,292.0354919433594,292.6512145996094
13,292.03546142578125,292.6512145996094
14,292.03546142578125,292.6512145996094
15,292.0355224609375,292.6512145996094
16,292.03558349609375,292.6512145996094
17,292.03570556640625,292.6512145996094
18,292.0360107421875,292.6512145996094
19,292.03594970703125,292.6512145996094
20,292.0357666015625,292.6512145996094
21,292.03558349609375,292.6512145996094
22,292.0357360839844,292.6512145996094
23,292.0357971191406,292.6512145996094
24,292.0357360839844,292.6512145996094
25,292.0359191894531,292.6512145996094
26,292.0357666015625,292.6512145996094
27,292.0351867675781,292.6512145996094
28,292.03558349609375,292.6512451171875
29,292.03546142578125,292.6512145996094
30,292.0351257324219,292.6512145996094
31,292.0356750488281,292.6512451171875
32,292.0356750488281,292.6512451171875
33,292.0355224609375,292.6512451171875
34,292.0353698730469,292.6512145996094
35,292.03546142578125,292.6512451171875
36,292.03564453125,292.6512145996094
37,292.03564453125,292.6512145996094
38,292.0355529785156,292.6512145996094
39,292.0357666015625,292.6512145996094
40,292.0352478027344,292.6512451171875
41,292.03570556640625,292.6512451171875
42,292.0356140136719,292.6512451171875
43,292.0355224609375,292.6512451171875
44,292.0354309082031,292.6512451171875
45,292.03570556640625,292.6512145996094
46,292.0354919433594,292.6512145996094
47,292.035400390625,292.6512451171875
48,292.035888671875,292.6512145996094
49,292.03558349609375,292.6512145996094
